name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
タイムズ荒川３丁目,times-buk0043412,東京都荒川区荒川3-22,35.732003,139.785614,self_propelled,2,TRUE,,,hourly,220,20,,一般,5000,1900,2100,2500,2,,https://times-info.net/P13-tokyo/C118/park-detail-BUK0043412/
タイムズ荒川第２８,times-buk0061196,東京都荒川区荒川1-2,35.732372,139.788911,self_propelled,10,TRUE,,,hourly,220,30,,一般,5000,1900,2100,2500,10,,https://times-info.net/P13-tokyo/C118/park-detail-BUK0061196/
タイムズ荒川第２７,times-buk0054705,東京都荒川区荒川1-3,35.732372,139.789758,self_propelled,5,TRUE,,,hourly,220,30,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C118/park-detail-BUK0054705/
タイムズ大山東町,times-buk0004262,東京都板橋区大山東町34,35.747708,139.711044,self_propelled,5,TRUE,,,hourly,220,20,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C119/park-detail-BUK0004262/
タイムズ板橋氷川町,times-buk0033777,東京都板橋区氷川町44,35.7481,139.710247,self_propelled,4,TRUE,,,hourly,220,15,,一般,5000,1900,2100,2500,4,,https://times-info.net/P13-tokyo/C119/park-detail-BUK0033777/
タイムズ板橋２丁目第３,times-buk0049797,東京都板橋区板橋2-19,35.744125,139.712633,self_propelled,5,TRUE,,,hourly,220,30,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C119/park-detail-BUK0049797/
タイムズ豊玉北第２０,times-buk0051748,東京都練馬区豊玉北6-5,35.731897,139.656031,self_propelled,5,TRUE,,,hourly,220,15,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C120/park-detail-BUK0051748/
タイムズ豊玉北６丁目,times-buk0037591,東京都練馬区豊玉北6-9,35.730819,139.654675,self_propelled,6,TRUE,,,hourly,220,30,,一般,5000,1900,2100,2500,6,,https://times-info.net/P13-tokyo/C120/park-detail-BUK0037591/
タイムズ豊玉北５丁目,times-buk0035944,東京都練馬区豊玉北5-26,35.730494,139.657175,self_propelled,6,TRUE,,,hourly,220,20,,一般,5000,1900,2100,2500,6,,https://times-info.net/P13-tokyo/C120/park-detail-BUK0035944/
タイムズ足立中央本町第４,times-buk0041862,東京都足立区中央本町1-20,35.773917,139.807075,self_propelled,7,TRUE,,,hourly,220,30,,一般,5000,1900,2100,2500,7,,https://times-info.net/P13-tokyo/C121/park-detail-BUK0041862/
タイムズ足立中央本町第７,times-buk0065618,東京都足立区中央本町4-17,35.771231,139.811922,self_propelled,13,TRUE,,,hourly,220,40,,一般,5000,1900,2100,2500,13,,https://times-info.net/P13-tokyo/C121/park-detail-BUK0065618/
タイムズ足立中央本町第６,times-buk0051025,東京都足立区中央本町2-9,35.768214,139.809194,self_propelled,4,TRUE,,,hourly,220,30,,一般,5000,1900,2100,2500,4,,https://times-info.net/P13-tokyo/C121/park-detail-BUK0051025/
タイムズ立石第５,times-buk0017594,東京都葛飾区立石7-4,35.73725,139.852825,self_propelled,5,TRUE,,,hourly,220,20,,一般,5000,1900,2100,2500,5,,https://times-info.net/P13-tokyo/C122/park-detail-BUK0017594/
タイムズ白鳥第９,times-buk0040773,東京都葛飾区白鳥1-6,35.74335,139.846564,self_propelled,7,TRUE,,,hourly,220,40,,一般,5000,1900,2100,2500,7,,https://times-info.net/P13-tokyo/C122/park-detail-BUK0040773/
タイムズ白鳥第１０,times-buk0046811,東京都葛飾区白鳥2-8,35.744228,139.846464,self_propelled,12,TRUE,,,hourly,220,40,,一般,5000,1900,2100,2500,12,,https://times-info.net/P13-tokyo/C122/park-detail-BUK0046811/
タイムズ東京電力江戸川,times-buk0048138,東京都江戸川区中央1-5,35.704197,139.871125,self_propelled,9,TRUE,,,hourly,220,40,,一般,5000,1900,2100,2500,9,,https://times-info.net/P13-tokyo/C123/park-detail-BUK0048138/
タイムズ松島１丁目,times-buk0033240,東京都江戸川区松島1-29,35.702058,139.869144,self_propelled,13,TRUE,,,hourly,220,40,,一般,5000,1900,2100,2500,13,,https://times-info.net/P13-tokyo/C123/park-detail-BUK0033240/
タイムズ江戸川中央第６,times-buk0020162,東京都江戸川区中央2-3,35.702044,139.874714,self_propelled,4,TRUE,,,hourly,330,60,,一般,5000,1900,2100,2500,4,,https://times-info.net/P13-tokyo/C123/park-detail-BUK0020162/
